lactation_week	milk	DM	breed	methane	methaneclass
14	32.8854289	25.03867785	Hol	398.0254882	high
14	36.24283195	24.72954235	SRB	394.3266182	high
15	23.17993706	13.21916542	SRB	396.0323967	high
15	39.89545636	24.09040332	SRB	371.7463866	high
15	30.70799543	12.40985539	SRB	333.7063604	medium
15	41.69459565	28.02925681	Hol	364.2410039	high
15	32.44091956	22.64572222	Hol	349.5981639	medium
16	54.62677069	25.98028965	Hol	324.2063221	medium
16	38.54422126	14.30268883	Hol	478.8105677	high
16	39.95481651	24.3152092	SRB	313.9278079	medium
16	35.30887018	25.17695968	SRB	331.7784228	medium
16	38.9268431	17.56401125	SRB	310.0298575	medium
16	40.94943049	34.25177321	SRB	307.5244062	low
16	38.40278463	18.61494106	Hol	377.6928221	high
16	19.08498513	22.41195135	Hol	388.4209334	high
16	35.37217931	25.24689848	Hol	466.0859618	high
16	25.64004965	32.75570224	SRB	322.4289671	medium
16	40.22641474	31.1434397	SRB	339.0130456	medium
16	43.95664345	32.62829771	SRB	325.3268748	medium
16	32.9859932	14.20042796	SRB	389.5802842	high
16	40.04501191	14.91954984	SRB	381.1529494	high
17	32.1209252	24.61241625	Hol	295.6605076	low
17	48.87006428	20.40087693	SRB	346.2704062	medium
17	35.31844737	26.74740317	SRB	293.983184	low
18	35.37732301	34.2543619	Hol	334.7385238	medium
18	31.60461127	18.45451675	SRB	314.8340246	medium
18	28.76791886	25.27096674	SRB	285.3694258	low
18	32.87245248	18.73594561	Hol	316.7936037	medium
19	39.62375934	35.84748957	Hol	323.2915702	medium
19	30.10740666	22.7474244	SRB	284.425319	low
19	32.87814156	24.44113445	Hol	308.0974016	low
19	34.13752345	19.82032033	Hol	329.9091255	medium
20	41.98933792	27.68251983	Hol	310.5247887	medium
20	28.12151731	22.23552142	Hol	353.1477517	medium
20	32.40640069	17.76182517	SRB	284.0129173	low
20	39.47398129	36.30947738	Hol	294.5914907	low
20	42.59708876	18.58103905	SRB	292.6835844	low
20	46.09790864	38.29436127	SRB	284.9198005	low
20	31.38859807	30.57653485	SRB	292.8732952	low
20	40.29090297	14.90342966	SRB	310.936228	medium
20	37.17893323	23.54933465	Hol	298.6622809	low
20	39.22211212	22.01076989	Hol	290.4406063	low
20	32.59303926	30.5285896	SRB	357.2493487	medium
20	34.08739705	29.18744289	SRB	312.067597	medium
20	43.43797504	14.15027705	SRB	291.9884197	low
20	35.62709423	23.46629876	SRB	302.9815525	low
20	42.52633069	21.43922034	Hol	292.4462008	low
20	44.72771517	22.6263801	Hol	357.8287983	medium
21	35.85516363	12.06862861	Hol	335.1480695	medium
21	32.05163783	29.59234165	Hol	327.0987844	medium
21	24.82145729	26.70295904	Hol	355.572182	medium
21	30.90050385	23.03347631	Hol	385.2702111	high
21	32.17242837	21.54720565	Hol	354.2537772	medium
21	40.18321008	34.87979758	SRB	360.6077096	high
21	31.98059564	18.76524434	SRB	286.5446926	low
21	33.25394112	21.82202415	SRB	288.8842081	low
22	36.71959894	18.34972224	Hol	331.3189719	medium
22	30.76916903	31.53094756	SRB	306.7505195	low
22	21.47946023	15.77743244	SRB	311.9811259	medium
22	51.86296753	29.11373274	Hol	302.4364329	low
22	46.28351904	20.05160559	Hol	294.0214486	low
23	32.0281526	20.1374941	SRB	312.1357697	medium
23	30.77649792	26.11395915	SRB	317.441853	medium
23	42.36115526	32.00559781	Hol	317.5885606	medium
19	26.88280391	25.7563818	SRB	304.5985017	low
21	34.22755648	21.45013477	Hol	314.3323717	medium
22	43.73974312	26.8020925	Hol	298.5219252	low
22	38.6320679	26.67183993	Hol	316.52569	medium
22	33.33503906	20.90508716	SRB	284.3055112	low
23	21.02732586	21.81561063	SRB	396.0206209	high
23	47.90921625	38.86785704	Hol	383.2206767	high
23	27.58517295	22.05868254	Hol	299.4605482	low
23	31.4796513	24.46710541	SRB	272.7188608	low
23	46.5318168	32.52600128	Hol	296.3169959	low
23	47.65511899	28.09801885	SRB	283.9579799	low
23	41.98295806	28.95419491	SRB	303.5115138	low
23	31.02575018	29.19938564	SRB	295.4666139	low
23	39.26248375	27.25221941	SRB	299.9359507	low
23	33.70741634	20.87334666	Hol	295.3626291	low
23	30.15113864	16.63709332	SRB	300.5122867	low
23	33.85407075	23.23464943	SRB	282.0963986	low
23	34.81348398	27.18674352	Hol	382.1311347	high
24	18.62714078	18.52864279	SRB	351.9081084	medium
24	36.3346735	31.57031359	Hol	314.2387368	medium
24	44.98207067	29.41569054	SRB	299.8387717	low
24	25.97385823	23.3061305	SRB	292.1746155	low
24	34.23797928	21.57376155	Hol	291.0443323	low
24	34.69265334	30.48773	Hol	308.0847213	low
25	46.1699071	29.61748766	Hol	346.8680238	medium
25	36.32998605	21.88337438	Hol	403.793108	high
25	36.77966031	9.369706403	SRB	309.5220848	low
25	35.70360947	18.26815415	SRB	326.9062999	medium
25	38.77567781	22.54431918	SRB	320.2792562	medium
25	34.69745651	18.38487488	SRB	311.8957027	medium
25	32.60549224	19.61311918	Hol	354.082032	medium
25	14.4316546	15.04732601	Hol	354.713958	medium
25	29.6074187	26.03902638	Hol	397.2175049	high
25	35.18266038	24.09222138	SRB	316.8027131	medium
25	38.37805809	21.14723409	Hol	298.6686215	low
25	35.52187849	21.22247751	Hol	334.4624167	medium
25	36.45695043	24.53602395	Hol	300.7290958	low
25	26.71945673	22.81498362	Hol	392.9328672	high
25	36.23606637	19.91861685	Hol	332.7196912	medium
25	25.65293125	18.59648831	SRB	311.9377655	medium
25	19.36447446	26.86734298	SRB	310.6437002	medium
25	49.10049242	29.80684693	Hol	302.7217339	low
25	33.58317136	22.05813931	Hol	295.3010545	low
25	17.71861403	13.35078501	SRB	299.1060516	low
25	34.56749908	27.11376378	SRB	324.3482919	medium
25	43.31294292	27.26716091	SRB	298.9354046	low
25	39.75857	31.93913566	SRB	297.3884434	low
25	40.47464956	28.00578127	Hol	294.1844786	low
25	48.2184756	25.25756818	Hol	310.8998669	medium
26	34.37184233	17.6654314	Hol	289.2320113	low
26	32.02086684	16.25742613	SRB	300.700682	low
26	29.12481691	30.35247333	Hol	312.9520109	medium
26	33.59442849	24.84587698	Hol	305.986619	low
26	39.25941359	28.43150157	Hol	309.1709916	low
26	33.71176872	22.15423283	Hol	302.434743	low
26	27.89648522	13.49608235	SRB	319.1223332	medium
26	30.2084877	22.40031051	SRB	312.1187235	medium
26	39.46952038	27.85585496	Hol	309.7813837	low
26	22.40941468	32.02604761	SRB	296.7876085	low
26	37.25634963	30.19036094	SRB	285.4716409	low
27	28.03339867	20.91124012	Hol	306.507515	low
27	32.25442003	16.33245121	SRB	326.2583898	medium
27	37.65546505	24.17326157	SRB	319.3129172	medium
27	39.72453766	28.2486114	Hol	293.0855467	low
29	38.21526618	24.15964891	Hol	331.4211026	medium
24	30.13661673	35.9146814	Hol	296.9678741	low
24	42.91026328	29.9813404	Hol	293.3887067	low
24	22.90867267	17.77690552	SRB	286.955213	low
24	36.34593548	17.9208275	SRB	273.5930266	low
25	21.78356898	32.84807335	Hol	368.5279386	high
25	32.17965222	29.69071056	Hol	320.3783621	medium
25	30.62848992	23.18915915	Hol	310.1774581	medium
25	31.49329049	28.06850027	SRB	285.4139072	low
25	42.81236042	28.08473979	Hol	298.7880959	low
25	28.78913061	21.38730684	SRB	297.3677326	low
25	27.17815527	35.90866694	SRB	280.4632692	low
25	35.02523565	24.01779817	Hol	346.5457762	medium
26	21.18405632	15.81541863	SRB	317.6532601	medium
26	30.37617916	29.43176117	SRB	327.1779479	medium
26	34.70337631	16.97403246	Hol	297.8831615	low
26	40.67092691	25.59558748	SRB	289.5826781	low
26	39.58976925	25.77826833	Hol	288.2996027	low
26	39.11905804	25.15802227	SRB	290.1080558	low
26	38.03451085	34.34849424	SRB	308.6740073	low
26	33.04424438	23.84353071	SRB	289.5134009	low
26	33.09656467	24.59750168	SRB	303.2688469	low
26	31.9142754	21.21528602	Hol	301.0836003	low
26	34.58124691	20.84622047	Hol	308.9647161	low
26	26.56273496	25.6676879	SRB	285.5164689	low
26	31.66023042	12.41326313	Hol	308.8517344	low
27	48.91787032	31.29853265	Hol	316.6633326	medium
27	34.66543885	20.81323716	Hol	340.9315649	medium
27	34.91973692	20.9629627	SRB	290.8660527	low
27	34.61155162	25.46151989	SRB	302.8423416	low
27	35.09822018	25.18956069	SRB	297.4207275	low
27	35.24092251	22.50267006	SRB	298.5613311	low
27	39.06153629	30.6048734	Hol	317.2025704	medium
27	13.28085571	4.031918916	Hol	324.6357077	medium
27	31.53981407	31.14036577	Hol	368.614194	high
27	16.19021089	14.58824253	SRB	311.7132955	medium
27	22.43809308	24.01605048	SRB	299.17237	low
27	33.73538181	29.3614956	SRB	295.9634485	low
27	43.81855345	27.29822151	SRB	304.2142372	low
27	32.71137237	21.40519263	Hol	298.3003725	low
27	35.59524008	20.42030094	Hol	325.7586736	medium
27	35.15567415	23.49164211	Hol	299.6511984	low
27	20.69191305	20.57785425	Hol	344.7630139	medium
27	35.80549171	18.77613279	Hol	313.8163935	medium
27	30.81781683	32.75575894	Hol	278.1586339	low
27	18.14664411	24.15707474	SRB	298.8786011	low
27	28.61168809	23.3771548	SRB	301.9765445	low
27	38.11219574	23.17262326	SRB	288.327724	low
27	40.74848452	21.21077483	SRB	280.5638713	low
27	45.56419487	24.93455808	Hol	294.2630436	low
28	34.91486389	25.78561413	Hol	302.9111838	low
28	38.89462857	18.24951065	SRB	306.0943705	low
28	32.00630798	26.74635429	Hol	287.177345	low
28	26.53529476	22.75909323	SRB	308.6829498	low
28	21.93275796	18.70264436	SRB	302.9037102	low
28	47.80794514	29.42062332	Hol	319.8358866	medium
28	23.53337798	14.01669097	SRB	285.2159232	low
28	31.82751019	14.14600669	SRB	291.8419001	low
29	28.60435099	27.54377152	Hol	302.7424206	low
29	26.8117715	23.10184975	SRB	337.2162449	medium
29	30.82898143	19.39430468	SRB	301.1132561	low
29	40.12974835	25.30891035	Hol	327.0875778	medium
29	39.84371248	20.97449092	Hol	283.7272524	low
31	37.21257137	27.80667459	Hol	311.4795331	medium
